text	labels						
Worked on data science projects using Python and PyTorch.	Python;PyTorch						
Built real-world database development applications with HTML, PyTorch and JavaScript.	HTML;PyTorch;JavaScript						
Experienced software development skilled in Data Science and PostgreSQL.	Data Science;PostgreSQL						
Strong technical background in artificial intelligence and tools such as React and Angular.	React;Angular						
Built real-world business intelligence applications with Artificial Intelligence and React.	Artificial Intelligence;React						
Experienced application development skilled in Angular, MongoDB, Data Science, Django and Excel.	Angular;MongoDB;Data Science;Django;Excel						
Candidate with strong data science background and hands-on experience in TensorFlow, PostgreSQL and Spring Boot.	TensorFlow;PostgreSQL;Spring Boot						
Hands-on experience in web development, including Power BI, Spring Boot and JavaScript.	Power BI;Spring Boot;JavaScript						
Strong technical background in data analysis and tools such as SQL and Docker.	SQL;Docker						
Professional working in artificial intelligence with experience in Excel, Java, PyTorch and MongoDB.	Excel;Java;PyTorch;MongoDB						
Developed and maintained cloud computing solutions using C++, Artificial Intelligence, Flask, AWS and Pandas.	C++;Artificial Intelligence;Flask;AWS;Pandas						
Worked on database development projects using TensorFlow, C++ and Java.	TensorFlow;C++;Java						
Skilled machine learning professional specializing in C++, Docker, Angular and JavaScript.	C++;Docker;Angular;JavaScript						
Skilled database development professional specializing in Pandas, AWS, SQL, CSS and React.	Pandas;AWS;SQL;CSS;React						
Built real-world backend development applications with Data Analysis and Pandas.	Data Analysis;Pandas						
Built real-world data science applications with CSS, MongoDB and MySQL.	CSS;MongoDB;MySQL						
Experienced DevOps skilled in NumPy, Spring Boot and AWS.	NumPy;Spring Boot;AWS						
Hands-on experience in data analysis, including AWS, Java and Excel.	AWS;Java;Excel						
Developed and maintained business intelligence solutions using C++, React, Git and Data Science.	C++;React;Git;Data Science						
Technical professional with expertise in Pandas, Machine Learning and MySQL and database development.	Pandas;Machine Learning;MySQL						
Built real-world business intelligence applications with Django, HTML and Angular.	Django;HTML;Angular						
Hands-on experience in cloud computing, including PyTorch, Data Science, PostgreSQL and Kubernetes.	PyTorch;Data Science;PostgreSQL;Kubernetes						
Experienced web development skilled in Angular, HTML, Deep Learning and Machine Learning.	Angular;HTML;Deep Learning;Machine Learning						
Hands-on experience in backend development, including HTML and Pandas.	HTML;Pandas						
Built real-world deep learning applications with MySQL and Data Analysis.	MySQL;Data Analysis						
Professional working in business intelligence with experience in Artificial Intelligence, Docker, Python and NumPy.	Artificial Intelligence;Docker;Python;NumPy						
Hands-on experience in data science, including Power BI, Pandas, Spring Boot and JavaScript.	Power BI;Pandas;Spring Boot;JavaScript						
Skilled business intelligence professional specializing in MongoDB, Python and PyTorch.	MongoDB;Python;PyTorch						
Skilled application development professional specializing in Deep Learning, Git and JavaScript.	Deep Learning;Git;JavaScript						
Built real-world backend development applications with HTML, SQL and Power BI.	HTML;SQL;Power BI						
Experienced deep learning skilled in Data Analysis and Spring Boot.	Data Analysis;Spring Boot						
Skilled application development professional specializing in Git and SQL.	Git;SQL						
Professional working in cloud computing with experience in Java, Angular and Kubernetes.	Java;Angular;Kubernetes						
Professional working in application development with experience in PyTorch and Machine Learning.	PyTorch;Machine Learning						
Candidate with strong artificial intelligence background and hands-on experience in HTML, NumPy and Machine Learning.	HTML;NumPy;Machine Learning						
Built real-world frontend development applications with Deep Learning, Docker, Data Analysis and PostgreSQL.	Deep Learning;Docker;Data Analysis;PostgreSQL						
Developed and maintained database development solutions using TensorFlow, Flask and MySQL.	TensorFlow;Flask;MySQL						
